"id","video_id","channel_title","video_title","video_description","view_count","like_count","favorite_count","comments_count","hashtags","video_post_datetime","video_post_date","video_post_time","channel_id"
11,lWt1EgIpWPQ,GoPro,GoPro | Drone Flies Into Erupting Volcano 🎬 Sebastian Schieren #Shorts,"GoPro Awards recipient Sebastian Schieren took his #GoProFPV drone in for a closer view of this eruption when he traveled to Iceland #GoPro #HyperSmooth #FPV #Iceland #Volcano #Lava

For more GoPro videos, subscribe to our channel 👉 http://goo.gl/HgVXpQ
GoPro HERO12 Black 👉 https://GoPro.com/HERO12

Shot 100% on GoPro: https://GoPro.com

For more from GoPro, follow us:
Facebook: https://www.facebook.com/gopro
Twitter: https://twitter.com/gopro
Instagram: https://instagram.com/gopro
TikTok: https://www.tiktok.com/@gopro
The Current: https://gopro.com/news
GoPro: https://gopro.com/channel/
#GoPro",225590,12803,0,97,"GoProFPV,GoPro,HyperSmooth,FPV,Iceland,Volcano,Lava,GoPro","2023-09-17 19:32:05","2023-09-17","19:32:05",UCqhnX4jA0A5paNd1v-zEysw
12,"3Rve-rP2wkI",GoPro,GoPro: First Ever Cliffhanger Front Flip | POV + BTS from The Nines MTB 2023,"Every year, the world's most talented mountain biking athletes gather at The Swatch Nines to push the limits of the sport on a one-of-a-kind jump line. This year, GoPro Athlete Bienvenido Aguado took freestyle biking to the next level by stomping the world's first Cliffhanger Front Flip. Join us for a behind-the-scenes look at what all goes down to make a historic trick like this come to fruition. Special thanks to Casey Brown, Elias Ruso, Sam Reynolds, + Nicholi Rogatkin for all of the coverage from Green Hill Bikepark in Germany.

--------------------------------------------------------
Products used in this video:
HERO12 Black: https://GoPro.com/HERO12
Max Lens Mod 2.0: https://GoPro.com/MaxLensMod2
Enduro Battery: https://GoPro.com/Enduro
Chesty: https://GoPro.com/shop/mounts-accessories/chesty/AGCHM-001.html
Adhesive Mounts: https://GoPro.com/shop/mounts-accessories/curved-plus-flat-adhesive-mounts/AACFT-001.html
--------------------------------------------------------

Shot 100% on GoPro: https://gopro.com/
Get stoked and subscribe: http://goo.gl/HgVXpQ

Music Courtesy of Epidemic Sound
https://www.epidemicsound.com/

For more from GoPro, follow us:
Facebook: https://www.facebook.com/gopro
Twitter: https://twitter.com/gopro
Instagram: https://instagram.com/gopro
TikTok: https://www.tiktok.com/@gopro
The Current: https://gopro.com/news
GoPro: https://gopro.com/channel/
#GoPro #GoProHERO12 #GoProMTB #MTB #MountainBiking",39557,1414,0,49,"GoPro,GoProHERO12,GoProMTB,MTB,MountainBiking","2023-09-15 18:15:00","2023-09-15","18:15:00",UCqhnX4jA0A5paNd1v-zEysw
13,_oK1LAqIv3U,GoPro,GoPro | The Ultimate Coordination Test 🎬 Jason Paul #Shorts,"The ultimate POV camera takes on the ultimate coordination test at this public art installation in Germany 🎥🏃‍♂️ Shot on #GoProHERO12 Black with Max Lens Mod 2.0 by #GoProAthlete Jason Paul. #GoPro #GoProPOV #HyperSmooth #FreeRunning #Parkour #Balance #POV

For more GoPro videos, subscribe to our channel 👉 http://goo.gl/HgVXpQ GoPro HERO12 Black 👉 https://GoPro.com/HERO12

Shot 100% on GoPro

Music Courtesy of Epidemic Sound
https://www.epidemicsound.com/

For more from GoPro, follow us:
Facebook: https://www.facebook.com/gopro
Twitter: https://twitter.com/gopro
Instagram: https://instagram.com/gopro
TikTok: https://www.tiktok.com/@gopro
The Current: https://gopro.com/news
GoPro: https://gopro.com/channel/
#GoPro",120491713,3220420,0,26305,"GoProHERO12,GoProAthlete,GoPro,GoProPOV,HyperSmooth,FreeRunning,Parkour,Balance,POV,GoPro","2023-09-12 14:00:20","2023-09-12","14:00:20",UCqhnX4jA0A5paNd1v-zEysw
14,kkDFB5ZU5VQ,GoPro,GoPro | HERO12 Black 📷 Automatic Highlight Videos Sent to Your Phone,"#GoPro #GoProHERO12 #HyperSmooth #GoProSurf #Surfing #Surf #SurfTrip

Capture. Charge. Chill. That’s all it takes to get incredible highlight videos sent to your phone. Simply plug your HERO12 in after a day of filming + relax as your content uploads to the cloud at 100% quality. The @quik app will edit your footage with beat-synced music + effects, then notify you when your personalized Auto Highlight Video is ready to watch + share. It's that easy.

Pre-order now at http://GoPro.com/HERO12

Shot 100% on GoPro

For more from GoPro, follow us:
Facebook: https://www.facebook.com/gopro
Twitter: https://twitter.com/gopro
Instagram: https://instagram.com/gopro
TikTok: https://www.tiktok.com/@gopro
The Current: https://gopro.com/news
GoPro: https://gopro.com/channel/
#GoPro",140818,6462,0,16,"GoPro,GoProHERO12,HyperSmooth,GoProSurf,Surfing,Surf,SurfTrip,GoPro","2023-09-09 21:00:19","2023-09-09","21:00:19",UCqhnX4jA0A5paNd1v-zEysw
15,"7omRWJ2YEQk",GoPro,GoPro | HERO12 Black 📷 New Bluetooth Audio Support,"#GoPro #GoProHERO12 #HyperSmooth #Videography #Vlogging

Wireless audio for professional sound + extended range. HERO12 Black connects to Apple AirPods, Bluetooth earbuds, or other wireless mics. This new feature allows vloggers + creators to record audio from their connected device, in addition to the natural audio from the camera. You can also control HERO12 with Voice Control via your connected headset + hear camera alerts to ensure it's doing what you intended. After your get the shot, use playback mode + listen to the audio directly in your ears.

Pre-order now at https://GoPro.com/HERO12

Shot 100% on GoPro

For more from GoPro, follow us:
Facebook: https://www.facebook.com/gopro
Twitter: https://twitter.com/gopro
Instagram: https://instagram.com/gopro
TikTok: https://www.tiktok.com/@gopro
The Current: https://gopro.com/news
GoPro: https://gopro.com/channel/
#GoPro",131845,5288,0,38,"GoPro,GoProHERO12,HyperSmooth,Videography,Vlogging,GoPro","2023-09-09 17:00:08","2023-09-09","17:00:08",UCqhnX4jA0A5paNd1v-zEysw
16,SnRjG46mNCk,GoPro,GoPro | HERO12 Black 📷 Waterproof + Ultra Durable,"#GoPro #GoProHERO12 #GoProSurf #GoProMoto #HyperSmooth

HERO12 Black can take a beating. Straight out of the box, it's waterproof to 33ft (10m) + ready for thick mud, deep snow, + pounding surf. The replaceable lens cover also features a water-repellant coating that sheds water droplets to keep your shots crystal clear when you're in the water. Max Lens Mod 2.0 is no different, with a 2x more scratch resistant coating that's also hydrophobic + waterproof.

Pre-order HERO12 Black + Max Lens Mod 2.0 at https://GoPro.com/HERO12Bundle

Shot 100% on GoPro

For more from GoPro, follow us:
Facebook: https://www.facebook.com/gopro
Twitter: https://twitter.com/gopro
Instagram: https://instagram.com/gopro
TikTok: https://www.tiktok.com/@gopro
The Current: https://gopro.com/news
GoPro: https://gopro.com/channel/
#GoPro",204196,6214,0,16,"GoPro,GoProHERO12,GoProSurf,GoProMoto,HyperSmooth,GoPro","2023-09-09 13:00:30","2023-09-09","13:00:30",UCqhnX4jA0A5paNd1v-zEysw
17,jcfgWl4aJwM,GoPro,GoPro | HERO12 Black 📷 Updated Night Effects,"HERO12 Black shines when the sun goes down. Its 3 Time Lapse Modes let you get creative in the dead of night, even with Max Lens Mod 2.0 attached. Alongside each Night Effects video you capture, HERO12 Black will also output a high-resolution photo for an easy way to share your masterpiece.

With the push of a button, you can capture:
💫 Star Trails - Use the Earth’s rotation + stars to capture beautiful light trails across the night sky.
🎨 Light Painting - Create brilliant brush stroke effects with moving light.
🚗 Vehicle Light Trails - Blend night-time traffic to record stunning light trail shots.

Pre-order HERO12 Black + Max Lens Mod 2.0 at https://GoPro.com/HERO12Bundle

Shot 100% on GoPro

For more from GoPro, follow us:
Facebook: https://www.facebook.com/gopro
Twitter: https://twitter.com/gopro
Instagram: https://instagram.com/gopro
TikTok: https://www.tiktok.com/@gopro
The Current: https://gopro.com/news
GoPro: https://gopro.com/channel/
#GoPro",66915,4105,0,24,GoPro,"2023-09-08 21:00:21","2023-09-08","21:00:21",UCqhnX4jA0A5paNd1v-zEysw
18,lRInd78mVkM,GoPro,GoPro | HERO12 Black 📷 New Max Lens Mod 2.0,"Widest. Tallest. Ultimate POV. Upgrade your HERO12 Black by bundling it with the new Max Lens Mod 2.0. This lens attachment offers an industry-leading, 177° FOV at 4K60 in Max HyperView + 48% wider vertical video in Max SuperView, without the need to mount vertically. With Max Lens Mod 2.0 attached, you'll also see a 36% FOV increase in widescreen capture when compared to the standard HERO12 Black. You'll also unlock Max #HyperSmooth + 360° horizon lock in all resolutions + lenses. And if you're looking for slo-mo, try the new 1080p120 video for 1/4 speed footage at a maxed-out FOV. Like to get rough? Max Lens Mod 2.0 is hydrophobic + 2x more scratch resistant than its predecessor, while maintaining a slimmer profile.

Pre-order HERO12 Black + Max Lens Mod now at https://GoPro.com/HERO12Bundle

Shot 100% on GoPro

For more from GoPro, follow us:
Facebook: https://www.facebook.com/gopro
Twitter: https://twitter.com/gopro
Instagram: https://instagram.com/gopro
TikTok: https://www.tiktok.com/@gopro
The Current: https://gopro.com/news
GoPro: https://gopro.com/channel/
#GoPro",125509,6062,0,43,"HyperSmooth,GoPro","2023-09-08 17:00:37","2023-09-08","17:00:37",UCqhnX4jA0A5paNd1v-zEysw
19,THFydLp_WZo,GoPro,GoPro | HERO12 Black 📷 New HDR Video,"#GoPro #GoProPOV #HyperSmooth #GoProSnow

Blown highlights + lost shadows are a thing of the past with the addition of High Dynamic Range (HDR) video modes in HERO12 Black. By exposing each video frame at 2 different levels + combining them into 1 balanced image, this new-to-GoPro setting captures details that might typically be lost in bright + dark areas of your footage. The result is life-like videos that replicate the high dynamic range of the human eyes 👀

Pre-order now at https://GoPro.com/HERO12

Shot 100% on GoPro

For more from GoPro, follow us:
Facebook: https://www.facebook.com/gopro
Twitter: https://twitter.com/gopro
Instagram: https://instagram.com/gopro
TikTok: https://www.tiktok.com/@gopro
The Current: https://gopro.com/news
GoPro: https://gopro.com/channel/
#GoPro",85558,3495,0,26,"GoPro,GoProPOV,HyperSmooth,GoProSnow,GoPro","2023-09-08 13:30:09","2023-09-08","13:30:09",UCqhnX4jA0A5paNd1v-zEysw
20,I1SXZMOBr9c,GoPro,GoPro: HERO12 Black 📷 Emmy® Award Winning HyperSmooth 6.0,"Shaky video is long gone. HyperSmooth 6.0 continues to raise the bar for in-camera video stabilization, giving you impossibly-smooth footage in every video mode, no matter how rough it gets. If you don't know how wild your ride will be, the upgraded AutoBoost offers more stabilization with less cropping—ensuring you get the widest + smoothest shots possible. Enhanced 360° Horizon Lock also allows your camera to rotate a full 360° while still maintaining perfectly level footage with the Linear + HL Digital Lens. You won’t need a gimbal or stabilization software for pro-quality results.

Attach Max Lens Mod 2.0 if you want the highest stabilization possible on HERO12 Black with Max HyperSmooth. You’ll also get Horizon Lock for all lenses, plus 1080p120 video for ultra stable 4x slo-mo footage with a maxed out FOV.

Pre-order HERO12 Black + Max Lens Mod 2.0 at https://GoPro.com/HERO12Bundle

Shot 100% on GoPro

For more from GoPro, follow us:
Facebook: https://www.facebook.com/gopro
Twitter: https://twitter.com/gopro
Instagram: https://instagram.com/gopro
TikTok: https://www.tiktok.com/@gopro
The Current: https://gopro.com/news
GoPro: https://gopro.com/channel/
#GoPro",98139,3145,0,18,GoPro,"2023-09-07 21:00:07","2023-09-07","21:00:07",UCqhnX4jA0A5paNd1v-zEysw
