"id","post_id","channel_type","post_type","post_description","views_count","likes_count","comments_count","shares_count","hashtags","post_datetime","post_time","post_date"
76,"7262123947225828650",tiktok,video,"🚨 GIVEAWAY 🚨 What’s your rig? We want to see the craziest, most creative, + most out-there camera set up that you’ve used. Our 4 favorites will snag a brand new HERO11 Black kit. To enter, duet this video + show us your most creative camera rig (all rigs are welcome!). The 4 winners will be announced + contacted on 8/7. #gopro #goprohero11 #giveaway #videography #fyp ",165100,11600,161,87,"gopro,goprohero11,giveaway,videography,fyp","2023-07-31 23:10:06","23:10:06","2023-07-31"
77,"7260975703758212394",tiktok,video,"If you didn’t know @Jaron, now you do 😎 #gopro #gopromax #imjarons #caught #caughtoncamera #pov #fyp",117600,5521,53,17,"gopro,gopromax,imjarons,caught,caughtoncamera,pov,fyp","2023-07-28 20:54:19","20:54:19","2023-07-28"
78,"7260228566246378795",tiktok,video,#SharkWeek throwback to #GoProFamily member @Andy B Casagrande IV’s hammerhead dorsal cam 😱 The contraption he used to attach his GoPro to the fin had an auto-release function set to a defined time so as to not cause any harm to the shark. This allowed researchers to safely study the movement patterns of this incredible species in a safe + responsible way. #gopro #shark #sharks #hammerheadshark #sharkencounter #fyp ,311100,25200,110,86,"SharkWeek,GoProFamily,gopro,shark,sharks,hammerheadshark,sharkencounter,fyp","2023-07-26 20:35:00","20:35:00","2023-07-26"
79,"7259445276807826734",tiktok,video,"Fish are friends, not food 👍 @Alex Kydd takes us up close + personal with an adult great white shark. #gopro #shark #sharks #sharkweek #greatwhiteshark #sharkdiver #sharkdiving ",92900,2747,28,14,"gopro,shark,sharks,sharkweek,greatwhiteshark,sharkdiver,sharkdiving","2023-07-24 17:55:38","17:55:38","2023-07-24"
80,"7258009290890349867",tiktok,video,The goodest boy + a creative GoPro mount 🐕🥺  Shot by @LukeBell with #GoProHERO11 Black Mini. #gopro #dogs #dog #pets #dogsoftiktok #dogtok #puppy ,772500,29100,109,73,"GoProHERO11,gopro,dogs,dog,pets,dogsoftiktok,dogtok,puppy","2023-07-20 21:03:03","21:03:03","2023-07-20"
81,"7257265095061835050",tiktok,video,"Just a relaxing, casual ride for Fran Pérez + Andy Schüler 😎 POV from #GoProHERO11 Black. #gopro #gopromtb #bike #mtb #mountainbike #mountainbiking #heights #fyp  ",7700000,372100,10600,23800,"GoProHERO11,gopro,gopromtb,bike,mtb,mountainbike,mountainbiking,heights,fyp","2023-07-18 20:55:11","20:55:11","2023-07-18"
82,"7256923546490916138",tiktok,video,"Summer hacks, BBQ edition 🍻🎥 Fun times at @GoPro Mountain Games #gopro #partytrick #bbq #cooler #colorado #gopromtngames #goprohero11 #creative #grill #cookout ",1200000,148300,246,654,"gopro,partytrick,bbq,cooler,colorado,gopromtngames,goprohero11,creative,grill,cookout","2023-07-17 22:49:56","22:49:56","2023-07-17"
83,"7255772547466136874",tiktok,video,Once-in-a-lifetime wave for @Pedro Boonman + #GoProHERO11 Black 🤤 #gopro #surfing #surf #barrel #barreled #skeletonbay #skeletonbarrel #namibia ,142100,12000,72,83,"GoProHERO11,gopro,surfing,surf,barrel,barreled,skeletonbay,skeletonbarrel,namibia","2023-07-14 20:23:23","20:23:23","2023-07-14"
84,"7254617134309838123",tiktok,video,Alex DiCecco has a lot of friends 😮 This crew of 200 gathered in the sky to attempt the head-down freefly world record... #gopro #skydiving #skydive #pov #fyp  ,110700,5766,129,53,"gopro,skydiving,skydive,pov,fyp","2023-07-11 17:39:46","17:39:46","2023-07-11"
85,"3185858905270734580",instagram,video,"Meet #GoProHERO12 Black 📷 Best-in-class image quality + video stabilization come together with a huge boost in battery performance to bring you the most versatile, capable, feature-packed HERO camera ever.

✔️ Up to 2x Longer Continuous Runtimes
✔️ New High Dynamic Range (HDR) Video + Photo
✔️ 5.3K60, 4K120, + 2.7K240 (8x slo-mo)
✔️ 27MP Photos with RAW Capture + 24.7MP Video Frame Grabs
✔️ Immersive 8:7 Sensor—Built for Simultaneous Vertical + Horizontal Capture
✔️ Emmy® Award-Winning #HyperSmooth 6.0 Stabilization with Improved AutoBoost + 360° Horizon Lock
✔️ New Vertical Capture Mode
✔️ Max Lens Mod 2.0 Ready for an Industry-Leading 177° FOV in 4K60
✔️ Rugged + Waterproof to 33ft (10m) Out of the Box
✔️ Large Front LCD + Rear Touch Screen
✔️ 10-bit Color + New GP-Log Encoding with LUT
✔️ New Bluetooth Audio Connectivity for Wireless Microphones
✔️ New Timecode Sync for Multi-Camera Editing
✔️ Night Effects Now with Still Images
✔️ 5 Digital Lenses
✔️ Updated Power Tools
✔️ Improved UI for Easy + Pro Controls
✔️ New Interval Photo Mode with Optimized Metering for Action + Selfies
✔️ Built-In Mounting Flexibility with new 1/4-20 Compatibility
✔️ Long-Lasting Enduro Cold-Weather Battery
✔️ Mod Ready
✔️ Webcam Mode + Live Streaming

Enhanced by a GoPro Subscription:
✔️ Auto-Highlight Videos Sent to Your Phone
✔️ Unlimited Cloud Backup at 100% Quality + Auto Uploads
✔️ No-Questions-Asked Camera Replacement
✔️ Up to 50% off at GoPro.com
✔️ 50% off Your First Year of GoPro Subscription When Bundled with HERO12 Black

Pre-order HERO12 Black + Max Lens Mod 2.0 at GoPro.com/HERO12. Link in bio.",790298,51993,1802,,"GoProHERO12,HyperSmooth","2023-09-06 13:00:03","13:00:03","2023-09-06"
86,"3190930741277707142",instagram,video,"The new #GoProHERO12 Black is available now in stores + on GoPro.com 🎥

✔️ Up to 2x Longer Continuous Runtimes
✔️ New High Dynamic Range (HDR) Video + Photo
✔️ 5.3K60, 4K120, + 2.7K240 (8x slo-mo)
✔️ 27MP Photos with RAW Capture + 24.7MP Video Frame Grabs
✔️ Immersive 8:7 Sensor—Built for Simultaneous Vertical + Horizontal Capture
✔️ Emmy® Award-Winning #HyperSmooth 6.0 Stabilization with Improved AutoBoost + 360° Horizon Lock
✔️ New Vertical Capture Mode
✔️ Max Lens Mod 2.0 Ready for an Industry-Leading 177° FOV in 4K60
✔️ Rugged + Waterproof to 33ft (10m) Out of the Box
✔️ Large Front LCD + Rear Touch Screen
✔️ 10-bit Color + New GP-Log Encoding with LUT
✔️ New Bluetooth Audio Connectivity for Wireless Microphones
✔️ New Timecode Sync for Multi-Camera Editing
✔️ Night Effects Now with Still Images
✔️ 5 Digital Lenses
✔️ Updated Power Tools
✔️ Improved UI for Easy + Pro Controls
✔️ New Interval Photo Mode with Optimized Metering for Action + Selfies
✔️ Built-In Mounting Flexibility with new 1/4-20 Compatibility
✔️ Long-Lasting Enduro Cold-Weather Battery
✔️ Mod Ready
✔️ Webcam Mode + Live Streaming

Enhanced by a GoPro Subscription:
✔️ Auto-Highlight Videos Sent to Your Phone
✔️ Unlimited Cloud Backup at 100% Quality + Auto Uploads
✔️ No-Questions-Asked Camera Replacement
✔️ Up to 50% off at GoPro.com

HERO12 Black + Max Lens Mod 2.0 are available now at GoPro.com/HERO12. Link in bio.",86452,11234,156,,"GoProHERO12,HyperSmooth","2023-09-13 12:43:14","12:43:14","2023-09-13"
87,"3191746489247119071",instagram,video,"#GoProHERO12 Black is The Official Camera of Fun—built for the laughs, the smiles, the nerves, the anticipation, + the celebration. If it’s fun, we’re there 😎 HERO12 Black is available now in stores + on GoPro.com.

#GoPro #HyperSmooth #GoProPOV #GoProSnow #GoProSurf #GoProMoto #GoProSelfie",63944,6532,72,,"GoProHERO12,GoPro,HyperSmooth,GoProPOV,GoProSnow,GoProSurf,GoProMoto,GoProSelfie","2023-09-14 15:43:52","15:43:52","2023-09-14"
88,"3207612591286365809",instagram,image,"Photo of the Day: Relax, it's the weekend 🏝️ Snapped by GoPro Subscriber + vacation enjoyer @soultonic71 for a $500 GoPro Award.

@goproanz #GoProANZ #GoPro #GoProTravel #Tropics #CookIslands #Travel #TravelPhotography",,10504,39,,"GoProANZ,GoPro,GoProTravel,Tropics,CookIslands,Travel,TravelPhotography","2023-10-06 13:00:41","13:00:41","2023-10-06"
89,"3207068824419161300",instagram,image,"Photo of the Day: Follow the leader 🚀 #GoProAwards recipient @erickk_3ee was ready for the Ultimate POV Challenge at GoPro.com/Awards.

We have $50,000 up for grabs until the end of the year. Submit your POV photos + videos to the Ultimate POV Challenge for a shot at the cash.

#GoPro #GoProPOV #GoProMoto #POV #BigAir #Motocross #FMX #Palmdale #California",,7056,19,,"GoProAwards,GoPro,GoProPOV,GoProMoto,POV,BigAir,Motocross,FMX,Palmdale,California","2023-10-05 19:00:20","19:00:20","2023-10-05"
90,"3206929457636776594",instagram,video,"$50,000 for our community 💰 The “Ultimate POV Challenge” is here—show us life through your lens for the opportunity to earn a feature + your share of the cash. We’ll select our favorite POV content submitted to GoPro.com/Awards. Videos will score up to $1,000 + up to $500 for photos. 

#ProTip: HERO12 Black + Max Lens Mod 2.0 make the Ultimate POV Camera. The ultra-wide lens attachment unlocks an industry leading 177° FOV for impossibly immersive POV content.

🎬 @stu.telfer, @ztc770, @vagabond_of_the_sea, @stephanemailion, @jeremynicollin

#GoPro #GoProHERO12 #HyperSmooth #POV",178988,18147,85,,"ProTip,GoPro,GoProHERO12,HyperSmooth,POV","2023-10-05 14:26:08","14:26:08","2023-10-05"
91,"3206182284859021962",instagram,video,"Happy World Animal Day 🐘 #GoProAwards recipient @jcpieri had his GoPro set up for Kenyan rush hour + was not disappointed with the footage when he returned to pick up his camera.

Reminder: Never approach wildlife. If you’re lucky enough that it approaches you or your GoPro, make sure you’re recording 🙌

#GoPro #Elephants #Elephant #Africa #Wildlife #WildlifePhotography",93807,20002,97,,"GoProAwards,GoPro,Elephants,Elephant,Africa,Wildlife,WildlifePhotography","2023-10-04 13:42:49","13:42:49","2023-10-04"
92,"3205639297159313238",instagram,image,"Photo of the Day: Hole-y moly, what a view 🌊 Snapped by $500 GoPro Award recipient @tr_style10.

GoPro Subscribers earn 2x the cash on all awarded submissions. Xavier scored 2x $250 for submitting this to the Photo of the Day challenge at GoPro.com/Awards.

@goproit #GoProIT #GoPro #GoProTravel #OverUnder #Travel #Italy #TravelPhotography",,14503,32,,"GoProIT,GoPro,GoProTravel,OverUnder,Travel,Italy,TravelPhotography","2023-10-03 19:40:07","19:40:07","2023-10-03"
93,"3205497410775040108",instagram,video,"Meet Hyphen. Shot on #GoPro
 
Hyphen is a revolutionary ‘cobot’ (collaborative robot), an automated assistant designed to work in tandem with Chipotle team members. Hyphen is being tuned to craft perfectly portioned burrito bowls and salads along an automated makeline, while a crew member makes burritos, tacos, and quesadillas above the line.
 
Chipotle’s investment in Hyphen originates from Cultivate Next, a $50 million fund targeting early-stage innovations that align with Chipotle’s mission to Cultivate a Better World.
 
Around 65% of Chipotle’s digital orders consist of bowls or salads, so with Hyphen on board, team members would be freed up to focus on guest experiences, while increasing the amount of digital orders during peak periods. 

Kewl beans",934127,30733,1566,,GoPro,"2023-10-03 15:01:43","15:01:43","2023-10-03"
94,"3204875258656204133",instagram,image,"Photo of the Day: Your unemployed friends on a Monday 🌄 Snapped by @oskars_yg_'s #GoProFPV drone for a $500 GoPro Award.

@gopronordics #GoProNordics #GoPro #GoProAwards #Sunrise #Silhouette #Norway #Fjords",,17546,40,,"GoProFPV,GoProNordics,GoPro,GoProAwards,Sunrise,Silhouette,Norway,Fjords","2023-10-02 18:22:07","18:22:07","2023-10-02"
95,"3204169680524383287",instagram,image,"Photo of the Day: Soak it all in 💦🌿 Snapped by #GoProAwards recipient @simojuulborring. 

Every Photo of the Day feature comes with a $250 payment. GoPro Subscribers earn 2x the cash 👉 GoPro.com/Awards

@goproid #GoProID #GoPro #GoProTravel #Travel #TravelPhotography #Waterfall #Indo #Java #Indonesia",,21246,48,,"GoProAwards,GoProID,GoPro,GoProTravel,Travel,TravelPhotography,Waterfall,Indo,Java,Indonesia","2023-10-01 19:00:16","19:00:16","2023-10-01"
96,"3204042080652294382",instagram,video,"Slingshot engaged 🚀 $500 #GoProAwards recipient @sajidneo lives life to the fullest. Shot on our 360° camera, #GoProMAX, above the Fjords of Norway.

@gopronordics #GoProNordics #GoPro #HyperSmooth #BASE #BASEJumping #Norway #Fjords",1316131,91525,283,,"GoProAwards,GoProMAX,GoProNordics,GoPro,HyperSmooth,BASE,BASEJumping,Norway,Fjords","2023-10-01 14:48:41","14:48:41","2023-10-01"
